customer_id,phone,email,processed_at
C001,+1-555-0001,brian.edwards@email.com,2026-06-10T11:04:22.712193
C002,+1-555-0002,hazel.rogers@email.com,2026-06-10T11:04:22.712193
C004,+1-555-0004,hazel.peterson@email.com,2026-06-10T11:04:22.712193
C006,+1-555-0006,amy.rogers@email.com,2026-06-10T11:04:22.712193
C007,+1-555-0007,helen.wright@email.com,2026-06-10T11:04:22.712193
C008,+1-555-0008,brian.moore@email.com,2026-06-10T11:04:22.712193
C009,+1-555-0009,steve.montana@email.com,2026-06-10T11:04:22.712193
C012,+1-555-0012,louise.jordan@email.com,2026-06-10T11:04:22.712193
C013,+1-555-0013,nina.bell@email.com,2026-06-10T11:04:22.712193
C015,+1-555-0015,jack.dern@email.com,2026-06-10T11:04:22.712193
C017,+1-555-0017,vera.cooper@email.com,2026-06-10T11:04:22.712193
C021,+1-555-0021,jack.richardson@email.com,2026-06-10T11:04:22.712193
C023,+1-555-0023,yvonne.williams@email.com,2026-06-10T11:04:22.712193
C024,+1-555-0024,rachel.miller@email.com,2026-06-10T11:04:22.712193
C025,+1-555-0025,timothy.lewis@email.com,2026-06-10T11:04:22.712193
C027,+1-555-0027,uma.carter@email.com,2026-06-10T11:04:22.712193
C029,+1-555-0029,yvonne.rogers@email.com,2026-06-10T11:04:22.712193
C030,+1-555-0030,ian.richardson@email.com,2026-06-10T11:04:22.712193
C031,+1-555-0031,ralph.ward@email.com,2026-06-10T11:04:22.712193
C033,+1-555-0033,natalie.tennant@email.com,2026-06-10T11:04:22.712193
C034,+1-555-0034,kate.sanders@email.com,2026-06-10T11:04:22.712193
C038,+1-555-0038,emma.gray@email.com,2026-06-10T11:04:22.712193
C040,+1-555-0040,paula.jordan@email.com,2026-06-10T11:04:22.712193
C044,+1-555-0044,sylvia.king@email.com,2026-06-10T11:04:22.712193
C048,+1-555-0048,debra.brooks@email.com,2026-06-10T11:04:22.712193
C050,+1-555-0050,zachary.portman@email.com,2026-06-10T11:04:22.712193
C051,+1-555-0051,amy.edwards@email.com,2026-06-10T11:04:22.712193
C052,+1-555-0052,tina.woods@email.com,2026-06-10T11:04:22.712193
C053,+1-555-0053,roger.reed@email.com,2026-06-10T11:04:22.712193
C054,+1-555-0054,owen.smith@email.com,2026-06-10T11:04:22.712193
C057,+1-555-0057,steve.king@email.com,2026-06-10T11:04:22.712193
C058,+1-555-0058,owen.reed@email.com,2026-06-10T11:04:22.712193
C059,+1-555-0059,linda.lewis@email.com,2026-06-10T11:04:22.712193
C060,+1-555-0060,ralph.brooks@email.com,2026-06-10T11:04:22.712193
C062,+1-555-0062,marcus.cooper@email.com,2026-06-10T11:04:22.712193
C064,+1-555-0064,sarah.hall@email.com,2026-06-10T11:04:22.712193
C065,+1-555-0065,isaac.green@email.com,2026-06-10T11:04:22.712193
C067,+1-555-0067,sarah.cavill@email.com,2026-06-10T11:04:22.712193
C068,+1-555-0068,xavier.watson@email.com,2026-06-10T11:04:22.712193
C070,+1-555-0070,bob.gray@email.com,2026-06-10T11:04:22.712193
C071,+1-555-0071,paula.sanchez@email.com,2026-06-10T11:04:22.712193
C072,+1-555-0072,helen.adams@email.com,2026-06-10T11:04:22.712193
C074,+1-555-0074,iris.gray@email.com,2026-06-10T11:04:22.712193
C077,+1-555-0077,rachel.woods@email.com,2026-06-10T11:04:22.712193
C081,+1-555-0081,penny.jones@email.com,2026-06-10T11:04:22.712193
C082,+1-555-0082,vera.richardson@email.com,2026-06-10T11:04:22.712193
C083,+1-555-0083,nina.walker@email.com,2026-06-10T11:04:22.712193
C084,+1-555-0084,laura.adams@email.com,2026-06-10T11:04:22.712193
C085,+1-555-0085,kate.bennet@email.com,2026-06-10T11:04:22.712193
C086,+1-555-0086,barbara.williams@email.com,2026-06-10T11:04:22.712193
C088,+1-555-0088,ivan.martinez@email.com,2026-06-10T11:04:22.712193
C091,+1-555-0091,albert.bailey@email.com,2026-06-10T11:04:22.712193
C093,+1-555-0093,natalie.thompson@email.com,2026-06-10T11:04:22.712193
C094,+1-555-0094,vera.scott@email.com,2026-06-10T11:04:22.712193
C096,+1-555-0096,kate.murphy@email.com,2026-06-10T11:04:22.712193
C098,+1-555-0098,marcus.prince@email.com,2026-06-10T11:04:22.712193
C100,+1-555-0100,leo.davis@email.com,2026-06-10T11:04:22.712193
